,date,fund_amount
0,2021-12-20,1000000.0
1,2021-12-21,1009998.6688206019
2,2021-12-22,1028692.550101089
3,2021-12-23,1047887.941556003
4,2021-12-24,1068622.8565038526
5,2021-12-25,1054171.0635009464
6,2021-12-26,1070929.3932600666
7,2021-12-27,1061139.0780808297
8,2021-12-28,1046111.8541491908
9,2021-12-29,1041059.9217472255
10,2021-12-30,1060980.8337010306
11,2021-12-31,1050956.4012903876
12,2022-01-01,1066321.6643403817
13,2022-01-02,1057178.6147610378
14,2022-01-03,1036312.0602273967
15,2022-01-04,1024004.6128395596
16,2022-01-05,1011828.0803197931
17,2022-01-06,992601.9054514051
18,2022-01-07,992634.9933514958
19,2022-01-08,1003083.3531009365
20,2022-01-09,1000135.6289420122
21,2022-01-10,983174.7341026118
22,2022-01-11,976936.0340020099
23,2022-01-12,970780.7786911174
24,2022-01-13,971206.9729623133
25,2022-01-14,952834.8277606393
26,2022-01-15,969207.5517656739
27,2022-01-16,981553.1196786831
28,2022-01-17,962839.929588605
29,2022-01-18,963659.6152351492
30,2022-01-19,981733.6778013797
31,2022-01-20,978835.2326236849
32,2022-01-21,991293.5888696727
33,2022-01-22,998100.2943734131
34,2022-01-23,1001949.2749318057
35,2022-01-24,983606.031699618
36,2022-01-25,967032.0745547438
37,2022-01-26,969219.353614581
38,2022-01-27,953227.7494534306
39,2022-01-28,970658.8196342083
40,2022-01-29,961995.5752966735
41,2022-01-30,949559.8904296444
42,2022-01-31,932772.3002449679
43,2022-02-01,922608.7216056653
44,2022-02-02,919027.206358647
45,2022-02-03,917328.5926093358
46,2022-02-04,931746.9211150943
47,2022-02-05,921378.3101973379
48,2022-02-06,904226.5999364767
49,2022-02-07,894092.3901383474
50,2022-02-08,898403.8728796222
51,2022-02-09,892947.3440368609
52,2022-02-10,908690.6341898255
53,2022-02-11,903442.3554761214
54,2022-02-12,898208.0911912364
55,2022-02-13,895983.6076707225
56,2022-02-14,882153.9853567322
57,2022-02-15,896735.6425680009
58,2022-02-16,881165.3950861851
59,2022-02-17,880136.142522143
60,2022-02-18,883581.8387567617
61,2022-02-19,889794.9508512428
62,2022-02-20,906656.1078900809
63,2022-02-21,893802.631347177
64,2022-02-22,906477.8239243951
65,2022-02-23,902108.2035353063
66,2022-02-24,913679.3177068656
67,2022-02-25,906492.3635259981
68,2022-02-26,896353.979095935
69,2022-02-27,886929.9162978822
70,2022-02-28,882984.0468796862
71,2022-03-01,866546.332246204
72,2022-03-02,874073.4399980477
73,2022-03-03,886197.1613547521
74,2022-03-04,890002.5268700146
75,2022-03-05,897028.0673603103
76,2022-03-06,894623.034305923
77,2022-03-07,879638.7438772703
78,2022-03-08,863864.6301000024
79,2022-03-09,857693.4265659195
80,2022-03-10,844034.9270004979
81,2022-03-11,830843.2680861877
82,2022-03-12,817905.7019037154
83,2022-03-13,817905.3647610055
84,2022-03-14,828667.4729533176
85,2022-03-15,821678.3493226311
86,2022-03-16,806849.7456046356
87,2022-03-17,817130.8739845159
88,2022-03-18,806557.2257915968
89,2022-03-19,799611.2220037762
90,2022-03-20,812271.4068283647
91,2022-03-21,810891.0650076662
92,2022-03-22,823911.723245697
93,2022-03-23,817098.7785115598
94,2022-03-24,832632.6628830975
95,2022-03-25,843106.6742309309
96,2022-03-26,850205.5710474045
97,2022-03-27,855841.42630424
98,2022-03-28,842981.850589123
99,2022-03-29,829053.4541622808
100,2022-03-30,824750.3665224856
101,2022-03-31,829208.5931938174
102,2022-04-01,827259.1755173623
103,2022-04-02,812933.1141361402
104,2022-04-03,814054.8214140894
105,2022-04-04,798776.8232361228
106,2022-04-05,804709.7776494989
107,2022-04-06,792008.6677876521
108,2022-04-07,800005.8733986141
109,2022-04-08,795381.1576383486
110,2022-04-09,789708.7037507443
111,2022-04-10,778361.728178058
112,2022-04-11,770586.73388632
113,2022-04-12,773442.7525690198
114,2022-04-13,783102.4694968287
115,2022-04-14,769130.5367755682
116,2022-04-15,777498.4707047789
117,2022-04-16,770278.3821455044
118,2022-04-17,773933.7689935156
119,2022-04-18,761497.2036095444
120,2022-04-19,751740.0374488638
121,2022-04-20,750513.2874897502
122,2022-04-21,736739.9979116278
123,2022-04-22,744042.7828153947
124,2022-04-23,734416.2606794251
125,2022-04-24,729545.5402679292
126,2022-04-25,728145.1815523709
127,2022-04-26,738285.2634285995
128,2022-04-27,734534.9718995121
129,2022-04-28,733346.7768722061
130,2022-04-29,719161.3085207819
131,2022-04-30,718343.7477822191
132,2022-05-01,711446.3841446437
133,2022-05-02,699044.1102803063
134,2022-05-03,694481.6989063798
135,2022-05-04,699466.3561359554
136,2022-05-05,702377.6423204285
137,2022-05-06,700296.3236808842
